type,page,score,H,A,L,B,ingredient_en,ingredient_zh,remarks_en,remarks_zh
item,8,1,,,L,,ramsons (Allium ursinum),拉姆松(乌西南),Small amounts are well tolerated.,少量通常耐受。
item,8,0,,,,,rosemary,迷宫,,
item,8,0,,,,,sage,贤者,,
item,8,0,,,,,savory (Satureja hortensis),口味( Satureja hortensis) Name,,
item,8,2,,,,,trifolium,三离子,"For example, fenugreek, blue fenugreek",例如葫芦巴、蓝葫芦巴。
item,8,2,,,,,trigonella,三边形,"For example, fenugreek, blue fenugreek",例如葫芦巴、蓝葫芦巴。
item,8,1,,,L,,wild garlic (Allium ursinum),野生大蒜(亚麻),Small amounts are well tolerated.,少量通常耐受。
item,8,1,,,L,,wood garlic (Allium ursinum),木蒜(硫磺),Small amounts are well tolerated.,少量通常耐受。
category,8,,,,,,Fruits,水果,,
item,8,0,,,,,"acerola, acerola powder, Barbados cherry, West Indian cherry, wild crepe myrtle","阿塞罗拉,阿塞罗拉粉,巴巴多斯樱桃,西印度樱桃,野生樱桃",,
item,8,0,,,,,apple,苹果,,
item,8,0,,,,,apple: Golden Delicious,苹果:黄金美味,,
item,8,0,,,,,apricot,杏类,,
item,8,?,,,,,"aronia, chokeberries, red chokeberry (Aronia arbutifolia), black chokeberry (Aronia melanocarpa)","红 choke(Aronia arbutifolia),黑 choke(Aronia melanocarpa)",,
item,8,?,,,,,Asimina triloba,Asimina 三边形,,
item,8,2,H,,L,,avocado,鳄梨,,
item,8,2,,A,,,banana,香蕉,(The greener the better tolerated?),(越绿越耐受? )
item,8,?,,,,,Barbary fig (Opuntia ficus-indica),巴巴利无花果(Opuntia ficus-indica),Avoid skin contact with the spikes!,避免皮肤接触刺。
item,8,0,,,,,blackberry,黑莓树,,
item,8,0,,,,,blackcurrants,黑色曲线,,
item,8,0,,,,,blueberries,蓝莓,,
item,8,?,,,,,boysenberry,红莓,,
item,8,?,,,,,cactus pear (Opuntia ficus-indica),仙人掌梨(学名:Opuntia ficus-indica)为茜草科梨属下的一个种.,Avoid skin contact with the spikes!,避免皮肤接触刺。
item,8,0,,,,,"carambola, starfruit","卡兰博拉,星果",,
item,8,0,,,,,cherry,樱桃,Controversial,有争议的
item,8,2,,A,L,,citrus fruits,柑橘果实,,
item,8,0,,?,,,cocoa butter,可可黄油,Mostly well tolerated,通常耐受良好。
item,8,2,,A,L,,"cocoa, cocoa powder (chocolate, etc.)",可可、可可粉(巧克力等),,
item,8,0,,,,,"coconut, coconut shavings, coconut milk",椰子、椰蓉、椰奶,Good source of selenium,硒的良好来源
item,8,?,,,,,common pawpaw of NE-USA,美国本土常见的爪子,,
item,8,0,,,,,common sea-buckthorn (Hippophaë rhamnoides),普通海角(Hippophaë rhamnoides),,
item,8,0,,,,,cowberry,黄莓,,
item,8,0,,,,,cranberry,蔓越莓,,
item,8,0,,,,,"dates (dried, desiccated)",枣（干枣）,,
item,8,1,,,L,,dog rose (Rosa canina),犬蔷薇（Rosa canina）,,
item,8,0,,,,,"dragon fruit, pitaya, pitahaya",火龙果,,
item,8,1,,,,,figs (fresh or dried),无花果（新鲜或干燥）,May be slightly laxative,可能有点松
item,8,0,,,,,"goji berry, Chinese wolfberry, Chinese boxthorn, Himalayan goji, Tibetan goji",枸杞、中华枸杞、喜马拉雅枸杞、藏枸杞,,
item,8,0,,,,,"gooseberry, gooseberries",醋栗,,
item,8,2,,A,L,,grapefruit,葡萄柚,,
item,9,0,,?,,,grapes,葡萄,,
item,9,2,,,?,,guava,番石榴,,
item,9,?,,,,,"Indian fig opuntia (Opuntia ficus-indica), Barbary fig, cactus pear, spineless cactus, prickly pear, tuna",仙人掌果（Opuntia ficus-indica）、巴巴里无花果、仙人掌梨、无刺仙人掌、刺梨,Avoid skin contact with the spikes!,避免皮肤接触刺。
item,9,0,,,,,jostaberry,乔斯塔莓,This plant is a hybrid between gooseberry and blackcurrant.,这种植物是鹅莓和黑cur的杂交种.
item,9,0,,,,,kaki,柿子,,
item,9,2,,?,L,,kiwi fruit,猕猴桃,,
item,9,?,,?,,,ladyfinger banana,小香蕉/手指蕉,The greener the better tolerated,越生/越绿通常越容易耐受。
item,9,2,,A,L,,lemon,柠檬,,
item,9,2,,?,L,,"lemon peel, lemon zest",柠檬皮、柠檬皮屑,,
item,9,3,,A,L,,lime,青柠,,
item,9,0,,,,,lingonberry,越橘,,
item,9,?,,,,,loganberry,长莓,,
item,9,0,,,,,lychee,莱切,,
item,9,2,,,,,"mandarin orange, mandarin, mandarine (Citrus reticulata)","普通话橙色,普通话,普通话(Citrus reticulata)",,
item,9,1,,,?,,mango,芒果语,To be debated. Is often well tolerated.,"要辩论,经常被耐受"
item,9,0,,,?,,melons (except watermelon),甜瓜(西瓜除外),Suspected occasional histamine liberator effects (due to pollutant / pesticide exposure?),疑似偶发组织胺消化剂效应(因为污染物/农药接触?
item,9,0,,,,,morello cherries,莫洛樱桃,,
item,9,?,,,,,mulberry,浆果,,
item,9,?,,?,,,nashi pear,纳希梨,,
item,9,0,,,,,nectarine,花环,,
item,9,3,,A,L,,orange,橙子,,
item,9,3,,?,L,,"orange peel, orange zest","橙皮,橙泽",,
item,9,2,,A,L,,"papaya, pawpaw",木瓜 爪子 木瓜 木瓜 爪子,,
item,9,?,,,,,"passion fruit, passionfruit","激情果实,激情果实",,
item,9,?,,,,,paw paw,爪头,,
item,9,0,,,,,peach,桃实,,
item,9,1,,A,,,pear,梨树,,
item,9,1,,A,,,"pear, peeled canned in sugar syrup","梨,用糖浆剥罐头",,
item,9,0,,,,,persimmon,紫外线,,
item,9,2,,A,L,,pineapple,菠萝,,
item,9,0,,,,,"pitaya, pitahaya, dragon fruit","pit, pit,龙果",,
item,9,1,,,L,,plum,红梅,,
item,9,0,,,,,pomegranate,石榴,,
item,9,?,,,,,prickly pear (Opuntia ficus-indica),刺状梨(Opuntia ficus-indica),Avoid skin contact with the spikes!,避免皮肤接触刺。
item,9,1,,,L,,prune,棱镜,,
item,9,1,,,?,,Prunus domestica subsp. Domestica,Prunus 国内a 子sp. 国内a,Better tolerated than other plums. Mainly cultivated in Central Europe.,比其他李子更易耐受；主要种植于中欧。
item,9,?,,,,,"purple granadilla, passionfruit","紫色颗粒,香果",,
item,9,0,,?,,,quince,成人,,
item,9,0,,,,,raisins,葡萄干,Only if not sulphured / without sulphite / without preservatives! High salicylate content!,如果不是硫化物/没有硫酸盐/没有防腐剂!高盐酸盐含量!
item,9,2,,,,,raspberry,树莓,,
item,9,0,,,,,"redcurrants, currant",红ants、 cur,,
item,9,0,,,,,"redcurrants, currant",红ants、 cur,,
item,9,1,,,,,rhubarb,鲁巴,Controversial. Often well tolerated. Oxalic acid.,争议性 常被耐受 可卡因
item,9,1,,,L,,rose hip,玫瑰的臀部,,
item,9,0,,,,,sallow thorn,沙发刺,,
item,9,0,,,,,sharon fruit,沙龙果,,
item,9,0,,,,,sour cherry,酸樱桃,,
item,9,?,,,,,spineless cactus (Opuntia ficus-indica),无脊椎仙人掌,Avoid skin contact with the spikes!,避免皮肤接触刺。
item,9,2,,A,L,,strawberry,草莓,,
item,9,?,,?,,,sugar banana,香蕉糖类,The greener the better tolerated,越生/越绿通常越容易耐受。
item,9,?,,,,,"tamarillo, Solanum betaceum","塔马里略,索拉努姆βceum",,
item,9,?,,,,,"tuna, prickly pear (Opuntia ficus-indica)",刺梨金枪鱼(Opuntia ficus-indica),Avoid skin contact with the spikes!,避免皮肤接触刺。
item,9,1,,,?,,watermelon,西瓜,Suspected histamine liberator effects,疑似组织胺解放剂效应
item,9,1,,,?,,Zwetschge (damson plum subspecies domestica),Zwetschge(达姆森梅花亚种) 昆明植物研究所.,Better tolerated than other plums. Mainly cultivated in Central Europe.,比其他李子更易耐受；主要种植于中欧。
category,9,,,,,,Seeds,种子,,
item,9,0,,,,,chia (Salvia hispanica),奇亚籽,,
item,9,0,,,,,"isabgol, psyllium seed husks",伊萨布醇、 种子壳,Can be useful both for constipation as well as diarrhea.,对便秘和腹泻都可能有帮助。
item,9,0,,,,,"ispaghula, psyllium seed husks","伊什帕古拉, 种子壳",Can be useful both for constipation as well as diarrhea.,对便秘和腹泻都可能有帮助。
item,9,0,,,,,psyllium seed husks (Plantago ovata),psy种子壳(Plantago ovata),Can be useful both for constipation as well as diarrhea.,对便秘和腹泻都可能有帮助。
item,9,0,,,,,pumpkin seeds,南瓜种子,,
item,9,1,,,,,sesame,芝麻,May cause diarrhea in some cases,在某些情况下可能导致腹泻
category,9,,,,,,ushro,乌什罗,,
item,9,3,,,L,,algae and algae derivatives,藻类和藻类衍生物,Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,"brown algae, algae","棕藻,藻类",Extremely rich in iodine,碘含量极高。
item,10,2,,,,,cep,cep (中文(简体) ).,,
item,10,3,,,L,,"green algae, algae",绿藻、藻类,Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,"kelp, seaweed, algae",海藻、海藻、藻类,Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,Kombu seaweed,孔布海藻,Extremely rich in iodine,碘含量极高。
item,10,2,,,,,morel,ưμ㼯A,,
item,10,2,,,,,"mushrooms, different types",不同种类的蘑菇,,
item,10,3,,,L,,Nori seaweed,诺里海藻,Extremely rich in iodine,碘含量极高。
item,10,2,,,,,porcino mushroom (Boletus edulis),猪笼草(Boletus edulis),,
item,10,3,,,L,,"red algae, algae",红藻、藻类,Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,"seaweed, seaweed","海藻,海藻",Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,seaweeds and seaweed derivatives,海藻和海藻衍生物,Extremely rich in iodine,碘含量极高。
item,10,3,,,L,,Wakame seaweed,瓦卡米海藻,Extremely rich in iodine,碘含量极高。
item,10,1,,A,,,white button mushroom,白色纽扣蘑菇,,
item,10,1,,,,,"yeast (fresh, dried, in all forms)",酵母（鲜酵母、干酵母及所有形式）,Well tolerated when produced under perfect hygienic conditions. Exceptions: baked goods with a long dough fermentation time may be intolerated. High content of glutamic acid (see glutamate).,在完全卫生的条件下生产时被完全耐受。 例外:面粉发酵时间长的烤货可能会被耐受。 高含量的谷氨酸(见谷氨酸)。
category,10,,,,,,eete,用户,,
item,10,0,,,,,"agave nectar, agave syrup",龙舌兰糖浆,High fructose content,高纤维含量
item,10,1,,,,,artificial sweeteners,人工甜化剂,Sucralose is tolerated.,苏格拉索是耐受的。
item,10,0,,,,,"birch sugar, xylitol, xylite, E967",birch糖、xylitol、xylite、E967,,
item,10,0,,,,,caramel (browned sugar),焦糖(褐糖),,
item,10,0,,,,,dextrose,脱落,"Glucose syrup may contain a lot of fructose, pure glucose is free from fructose.",葡萄糖浆可能含有较多果糖；纯葡萄糖不含果糖。
item,10,0,,,,,"E420, sorbitol, glucitol","E420,轨道醇,葡萄醇",,
item,10,0,,,,,"E967, xylitol, xylite, birch sugar","E967, xylitol, xylite, birch 糖类",,
item,10,2,,,,,extract of malt,提取麦芽,,
item,10,0,,,,,fructose (fruit sugar),果糖(果糖),Too much will cause indigestion.,太多会导致消化不良
item,10,0,,,,,glucose,糖类,"Glucose syrup may contain a lot of fructose, pure glucose is free from fructose.",葡萄糖浆可能含有较多果糖；纯葡萄糖不含果糖。
item,10,0,,,,,honey,蜂蜜,To be debated. Uneven. Naturally contains benzoic acid.,"要辩论,不均匀,当然含有苯甲酸"
item,10,0,,,,,"inverted sugar syrup, invert sugar syrup",反向糖浆、反向糖浆,,
item,10,0,,,,,lactose (milk sugar),乳糖(牛奶糖),,
item,10,2,,,?,,liquorice root,酒类根,,
item,10,2,,,,,malt extract,麦芽提取器,,
item,10,0,,,,,"maltose, malt sugar (pure)","麦芽糖,麦芽糖(纯)",,
item,10,0,,,,,maple syrup,枫糖浆,,
item,10,?,,,?,,palm sugar,棕榈糖,,
item,10,0,,,,,"sorbitol, glucitol, E420",轨醇、葡萄醇、E420,,
item,10,0,,,,,"stevia (stevia leaves, liquid, powder)",斯特维亚(斯泰维亚叶子、液体、粉末),,
item,10,0,,,,,sucrose,寿司,"Nevertheless, should be used sparingly, not as a main nutrient.",仍应少量使用，不应作为主要营养来源。
item,10,0,,,,,"sugar (beet sugar, cane sugar)",糖（甜菜糖、蔗糖）,"Nevertheless, should be used sparingly, not as a main nutrient.",仍应少量使用，不应作为主要营养来源。
item,10,0,,,,,"xylitol, xylite, birch sugar, E967",xylitol、xylite、birch糖、E967,,
category,10,,,,,,"ices,","冰块,",,
item,10,?,,,,,"anise, aniseed","动静,动静",,
item,10,?,,,,,"bay laurel, laurel","湾式升降机,升降机","Small amounts are well tolerated, for larger quantities lack of experience.",少量通常耐受；较大量摄入缺乏经验。
item,10,0,,,,,black caraway (Nigella sativa),黑色车厢(尼吉拉·萨蒂瓦),antiallergic,抗过敏
item,10,2,,,,,bouillon (because of yeast extract / meat extract / glutamate),bouillon(因为酵母提取物/肉提取物/脂肪),"Almost always with incompatible ingredients (glutamate, yeast extract, spice/aroma/flavour/seasoning/condiment/wort (in the meaning of protein hydrolysates), meat extracts, incompatible vegetables)",几乎总是含有不兼容的成分(甘氨酸、酵母提取物、香料/阿罗马/香味/季节/凝固/腐烂(蛋白水解物、肉类提取物、不兼容蔬菜))
item,10,0,,,,,caraway (Carum carvi),卡拉韦(Carum carvi),Positive effect: good for heavy meals. Caution: Not to be confused with cumin (intolerated)!,正面作用：适合搭配油腻/难消化餐食。注意：不要与孜然（不耐受）混淆！
item,10,0,,,,,cardamom,卡萨莫姆语Name,À utiliser avec parcimonie! Des différentes éspèces et variétés sont appelées cardamome et sont utilisés comme épice. Difficile de savoir si tous sont également toléré.,使用avec parcimonie! 使用afférentes espèces et variétés sont appelées carmame et sont us savoir si tous segalement àléré。 使用afficile de savoir si tous sont également toléré。
item,10,0,,,?,,cilantro,绿色,Only small amounts are well tolerated.,仅少量通常耐受。
item,10,0,,,,,cinnamon,肉桂,,
item,10,0,,,,,cloves,丁香,"Small amounts are well tolerated, for larger quantities lack of experience.",少量通常耐受；较大量摄入缺乏经验。
item,10,0,,,?,,coriander,香菜籽/芫荽,Only small amounts are well tolerated.,仅少量通常耐受。
item,10,2,,,L,,cumin (Cuminum cyminum),孜然,,
item,10,2,,,L,,cummin,积分,,
item,10,2,,,,,curry,咖哩,,
item,10,0,?,,,,distilled white vinegar,蒸馏白醋,"Low histamine, but not free from histamine. Use sparingly. Check for intolerated additives.",组胺含量低，但并非完全不含组胺。请少量使用，并检查是否含有不耐受的添加剂。
item,10,0,,,,,fennel flower (Nigella sativa),芬内尔花(Nigella sativa),antiallergic,抗过敏
item,10,1,,,,,ginger,姜,Small amounts are well tolerated.,少量通常耐受。
item,10,2,,,L,,Jeera,洁拉,,
item,10,0,,,,,juniper berries,朱尼伯浆果,,
item,11,?,,,,,"laurel, bay laurel, sweet bay, bay tree, true laurel, Grecian laurel",葡萄酒 葡萄酒 葡萄酒 葡萄酒 葡萄酒,"Small amounts are well tolerated, for larger quantities lack of experience.",少量通常耐受；较大量摄入缺乏经验。
item,11,2,?,?,?,,meat extract,肉类提取物,,
item,11,0,,,,,meridian fennel (Carum carvi),红外线(Carum carvi),Positive effect: good for heavy meals. Caution: Not to be confused with cumin (intolerated)!,正面作用：适合搭配油腻/难消化餐食。注意：不要与孜然（不耐受）混淆！
item,11,2,,,L,,"mustard, mustard seeds, mustardseed powder",芥末 芥末种子 芥末,Seeds of the mustard plant and products thereof,芥子植物及其制品的种子
item,11,0,,,,,Nigella sativa seed,奈杰拉·萨蒂瓦种子,antiallergic,抗过敏
item,11,1,,,,,nutmeg,坚果,Small amounts are well tolerated.,少量通常耐受。
item,11,0,,,,,nutmeg flower (Nigella sativa),坚果花(Nigella sativa),antiallergic,抗过敏
item,11,2,,,,,"paprika, hot","辣椒,热辣",Irritating the intestine,刺激肠道
item,11,0,,,,,"paprika, sweet","辣椒,甜点",,
item,11,2,,,,,"pepper, black",黑辣椒 红辣椒,Small amounts are tolerated.,少量可耐受。
item,11,2,,,,,"pepper, white","白胡椒,白胡椒,红胡椒",Small amounts are tolerated.,少量可耐受。
item,11,0,,,,,Persian cumin (Carum carvi),波斯库明( Carum carvi),Positive effect: good for heavy meals. Caution: Not to be confused with cumin (intolerated)!,正面作用：适合搭配油腻/难消化餐食。注意：不要与孜然（不耐受）混淆！
item,11,1,,,,,poppy seeds,罂粟种子,Small amounts are well tolerated.,少量通常耐受。
item,11,3,H,?,,,red wine vinegar,红酒醋,,
item,11,0,,,,,Roman coriander (Nigella sativa),罗马科里安德(尼吉拉·萨蒂瓦),antiallergic,抗过敏
item,11,2,,,,,seasoning made of hydrolysated proteins,由水解蛋白质制成,"Derived from vegetal protein hydrolysate, aroma reminiscent of meat broth. Contains glutamate, histamine and other amines.","来源于植物蛋白水解,芳香可让人回想起肉汤,含有谷氨酸,二聚氰胺和其他胺类物质."
item,11,3,,,,,soy sauce,酱油,,
item,11,0,?,,,,spirit vinegar,灵醋,"Low histamine, but not free from histamine. Use sparingly. Check for intolerated additives.",组胺含量低，但并非完全不含组胺。请少量使用，并检查是否含有不耐受的添加剂。
item,11,?,,,,,"star anise, star anise seed, Chinese star anise, badiam",恒星麻醉剂 恒星麻醉剂种子 中国恒星麻醉剂 Badiam,,
item,11,0,,,,,"thyme, common thyme, German thyme, garden thyme, (Thymus vulgaris)",胸腺 普通胸腺 德国胸腺 花园胸腺,,
item,11,0,,,,,turmeric (Curcuma longa),tur(Curcuma longa),,
item,11,1,?,,?,,vanilla extract,香草提取物,"From fermented fruits, alcoholic.","从发酵的水果,酒鬼。"
item,11,1,?,,?,,"vanilla, vanilla pod, vanilla powder, vanilla sugar",香草、香草、香草粉、香草糖,Tolerated in small quantities. Fermentation! Possibly traces of sulfite? (See also additives > vanillin),少量耐受。发酵! 可能有硫化物的痕迹吗? (另见添加剂 > vanillin)
item,11,1,H,?,,,vinegar: apple vinegar,醋:苹果醋,Check for additives.,检查添加剂。
item,11,3,H,?,,,vinegar: balsamic vinegar,醋:防腐醋,,
item,11,0,?,,,,"vinegar: spirit vinegar, distilled white vinegar","醋:精神醋,蒸馏白醋","Low histamine, but not free from histamine. Use sparingly. Check for intolerated additives.",组胺含量低，但并非完全不含组胺。请少量使用，并检查是否含有不耐受的添加剂。
item,11,0,?,,,,"white vinegar, spirit vinegar","白醋,灵醋","Low histamine, but not free from histamine. Use sparingly. Check for intolerated additives.",组胺含量低，但并非完全不含组胺。请少量使用，并检查是否含有不耐受的添加剂。
item,11,3,H,?,,,white wine vinegar,白葡萄酒醋 红葡萄酒,,
item,11,2,,,L,,yeast extract,酵母提取物,Chemical conversion to glutamate.,化学转化成谷氨酸.
category,11,,,,,,verag Water,乌鸦水,,
item,11,1,,,?,,"healing spring water with lots of sulfur, fluorine, iodine, and carbonic acid",用大量的硫、氟、碘和碳酸来治愈泉水,,
item,11,0,,,,,"mineral water, still","矿泉水,仍然",,
item,11,0,,,,,tap water,饮用水,,
category,11,,,,,,Alcoh,阿尔科,,
item,11,3,,,L,B,"alcohol, pure (ethanol)",纯酒精(乙醇),,
item,11,3,H,A,L,B,alcoholic beverages,酒精饮料,,
item,11,2,H,A,L,B,beer,啤酒,,
item,11,2,H,A,L,B,brandy,白兰地,,
item,11,3,H,A,L,B,champagne,香槟,,
item,11,3,,,L,B,ethanol,乙醇,,
item,11,2,?,?,L,B,"liquor, clear (colourless)","酒,清(无色)",,
item,11,3,H,A,L,B,"liquor, schnapps, spirits, cloudy (not colourless)","酒, s,灵,云(非无色).",,
item,11,2,H,A,L,B,rum,朗姆酒,,
item,11,2,?,?,L,B,"schnapps, clear (colourless)","schnapps, clear (无色) (无色)",,
item,11,3,H,A,L,B,sparkling wine,闪亮的酒,,
item,11,2,?,?,L,B,"spirits, clear (colourless)","灵,清(无色)",,
item,11,3,H,A,L,B,wine,红酒,,
item,11,1,,?,L,B,"wine, histamine free (<0.1 mg/l)","葡萄酒,无四胺(<0.1毫克/升)","Still contains alcohol and sulfite, like any wine. For cooking, it is well tolerated after the alcohol has evaporated.","仍然含有酒精和硫酸盐,就像任何葡萄酒一样,在烹饪时,酒精蒸发后是完全耐受的."
item,11,3,H,A,L,B,wine: red wine,红葡萄酒,,
item,11,2,H,A,L,B,wine: Schilcherwein,红酒:Schilcherwein,,
item,11,2,H,A,L,B,wine: white wine,白葡萄酒,,
category,11,,,,,,"Tea, h","茶叶,h",,
item,11,0,,,,,chamomile tea,香槟茶,,
item,11,1,,,,B,green tea,绿茶,,
item,11,1,,,?,,herbal teas with medicinal herbs (especially complex mixtures with numerous ingredients),药用草药茶(特别是含有多种成分的复杂混合物),Incompatible ingredient not yet identified,尚未查明的不兼容成分
item,12,0,,,,,"lime blossom tea, limeflower, flowers of large-leaved limetree (Tilia platyphyllos)","石灰花茶,石灰花,大叶石灰树(Tilia platyphyllos)的花朵.",,
item,12,1,,,,B,mate tea (llex paraguariensis),交配茶(苦艾酒),,
item,12,0,,,,,peppermint tea,薄荷茶 薄荷茶,,
item,12,0,,,,,rooibos tea,鲁伊波斯茶,Caution: Check the list of ingredients. Tea blends (mixtures) of Rooibos & incompatible ingredients (e.g. orange zest) are often sold as “Rooibos” as well.,注意: 请检查配料清单 : Rooibos和不兼容配料(如橙色 )的茶混合(混合)也经常作为“Rooibos”出售。
item,12,0,,,,,sage tea,贤茶,,
item,12,1,H,?,?,,stinging nettle herbal tea (Urtica dioica),刺网草茶(Urtica dioica),,
item,12,2,H,,,B,"tea, black tea","茶叶,黑茶",,
item,12,0,,,,,verbena herbal tea,马鞭草茶,Has a calming effect on intestine and nervous system.,对肠和神经系统有镇定作用.
category,12,,,,,,Juice,汁点,,
item,12,0,,,,,cranberry nectar,红莓花蜜,,
item,12,2,,,L,,orange juice,橙汁( 橙汁 ),,
category,12,,,,,,Veget,植物,,
item,12,2,,,L,,tomato juice,蕃茄汁,,
category,12,,,,,,Drink,喝点,,
item,12,1,,,,,Coca-Cola,可口可乐,See also caffeine and carbonated,另见咖啡因和碳酸饮品。
item,12,1,,,,,coffee,咖啡,"Caffeine stimulates nerves and bowel, which may be mast cell activating.","咖啡因刺激神经和大肠,这可能是乳房细胞激活."
item,12,1,,,,,Coke,可乐,See also caffeine and carbonated,另见咖啡因和碳酸饮品。
item,12,1,,,,,Cola-drinks,科拉饮料,See also caffeine and carbonated,另见咖啡因和碳酸饮品。
item,12,2,,,?,B,energy drinks,能源饮料,Theobromine inhibits the DAO enzyme.,热溴能抑制DAO酶.
item,12,1,,,,,espresso,浓咖啡,"Better tolerated than coffee, but caffeine still stimulates nerves and bowel, which may be mast cell activating.","比咖啡更能耐受,但咖啡因仍然能刺激神经和肠胃,这可能是乳房细胞激活."
category,12,,,,,,Milk s,牛奶 s,,
item,12,1,,,,,"oat drink, oat milk","燕麦饮料,燕麦牛奶",Often slightly histamine containing as fermented enzymatically.,因酶促发酵，通常含有少量组胺。
item,12,1,,,,,"rice milk, rice drink","米奶,米饮",Often slightly histamine containing as fermented enzymatically.,因酶促发酵，通常含有少量组胺。
item,12,2,,,,,"soy milk, soy drink",豆奶、豆饮,,
category,12,,,,,,Soft d,软 d,,
item,12,2,,,,,chocolate drinks,巧克力饮料,,
item,12,2,,,,,cocoa drinks,可可饮料,,
item,12,0,,,,,elderflower cordial,长花热情,,
item,12,2,,,,,hot chocolate,热巧克力,,
item,12,1,,,,,lemonade,柠檬水,Depending on the ingredients,取决于具体成分。
item,12,2,,,,,Ovaltine,欧华汀,,
item,12,1,,,,,soda,苏打水,Depending on the ingredients,取决于具体成分。
item,12,1,,,,,soft drinks,软饮料,Depending on the ingredients,取决于具体成分。
category,12,,,,,,od ad,日记,,
item,12,2,,,L,,"2-hydroxybiphenyl, E231","2-羟基联苯,E231",,
item,12,1,,,L,,"acacia gum, gum arabic, E414",阿拉伯口香糖、阿拉伯口香糖、E414,,
