type,page,score,H,A,L,B,ingredient_en,ingredient_zh,remarks_en,remarks_zh
item,16,0,,,,,"E334, tartaric acid, 2,3-dihydroxybutanedioic acid, 2,3- dihydroxysuccinic acid, threaric acid, racemic acid, uvic acid, paratartaric acid","E334,柏油酸,2,3-二羟基丁二酸,2,3-二羟基苏奇酸, thr酸,种族酸,uvic酸,tar酸",,
item,16,0,,,,,"E335, sodium tartrate, sal tartar, disodium tartrate, bisodium tartrate, monosodium tartrate, sodium bitartrate","E335,柏酸钠,沙质柏酸盐,二碘柏酸盐,二碘柏酸盐,单碘柏酸盐,丁酸钠",See cream of tartar,参见酒石酸氢钾/塔塔粉。
item,16,0,,,,,"E336, cream of tartar, potassium bitartrate","E336,柏油,比塔酸钾",,
item,16,1,,,?,,"E340, calcium phosphates: monocalcium phosphate (KH2PO4, calcium dihydrogen phosphate), dicalcium phosphate (K2HPO4, dicalcium hydrogen orthophosphate, calcium phosphate dibasic), tricalcium phosphate (K3PO4)","E340,磷酸钙:磷酸单钙(KH2PO4,二氢磷酸钙),磷酸二钙(K2HPO4,氢正磷酸二钙,磷酸二钙),磷酸三钙(K3PO4).",,
item,16,1,,,?,,"E340, potassium phosphates: monopotassium phosphate (KH2PO4, potassium dihydrogen phosphate), dipotassium phosphate (K2HPO4, dipotassium hydrogen orthophosphate, potassium phosphate dibasic), tripotassium phosphate (K3PO4)","E340,磷酸钾:磷酸单钾(KH2PO4,磷酸二氢钾),磷酸二钾(K2HPO4,磷酸氢正磷酸二钾),磷酸三钾(K3PO4).",,
item,16,1,,,?,,"E380, ammonium citrate, triammonium citrate","E380,柠檬酸铵,柠檬酸三铵",,
item,16,2,,,L,,"E400, alginic acid, algin, alginate","E400,亚基酸,亚基,亚基酸",,
item,16,2,,,L,,"E401, sodium alginate","E401, 亚化钠",,
item,16,2,,,L,,"E402, potassium alginate","E402,挥发钾",,
item,16,2,,,L,,"E403, ammonium alginate","E403, 铝化铵",,
item,16,2,,,L,,"E404, calcium alginate","E404,钙酸盐",,
item,16,2,,,L,,"E405, propylene glycolic alginate","E405,丙烯甘油白化",,
item,16,1,,,?,,"E406, agar, agar-agar","E406,阿加尔,阿加尔",,
item,16,2,,,L,,"E407, E407a, carrageenan, processed seaweed","E407,E407a,卡拉吉南,加工海藻",,
item,16,2,,,L,,"E410, locust bean gum, LBG, carobin, carob bean gum",E410 蝗虫豆胶、LBG、Caobin、Caob豆胶,"Thickening agent and gelling agent, extracted from the seeds of the carob tree.",增稠剂和凝胶剂，提取自角豆树种子。
item,16,1,,,L,,"E412, guar gum, guaran",E412 瓜尔口香糖 瓜尔,,
item,16,2,,,L,,"E413, tragacanth",E413 轨迹,,
item,17,1,,,L,,"E414, gum arabic, acacia gum, chaar gund, char goond, meska","E414,阿拉伯口香糖,阿卡西亚口香糖,沙尔枪,Char Gond,Meska",,
item,17,0,,,,,"E415, xanthan gum","E415,Xanthan口香糖",,
item,17,1,,,L,,"E416, gum karaya, karaya gum, crystal gum",E416 卡拉亚口香糖 卡拉亚口香糖 水晶口香糖,,
item,17,0,,,,,"E421, mannitol, mannite, manna sugar","E421,芒硝醇,曼硝酸,甘露糖",,
item,17,0,,,,,"E422, glycerol, glycerine, glycerin, propanetriol, propane- 1,2,3-triol, 1,2,3-trihydroxypropane","E422,甘油,甘油,甘油,丙烷三醇,丙烷-1,2,3-三醇,1,2,3-三羟丙烷",,
item,17,0,,,,,"E440, pectin","E440, ec",,
item,17,1,?,,?,,"E441, gelatin","E441,胶原","Controversial, may also be tolerated.",存在争议，也可能可耐受。
item,17,2,,,?,,"E452, polyphosphates: sodium-, potassium-, calcium- and sodium-calcium-polyphosphate",E452 聚磷酸钠:钠、钾、钙和钠-钙-聚磷酸钠,,
item,17,0,,,,,"E460, cellulose","E460,纤维素",,
item,17,0,,,,,"E461, methyl cellulose, methylcellulose, cellulose methyl ether, methylated cellulose","E461,甲基纤维素,甲基纤维素,纤维素甲基醚,甲基纤维素",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,17,0,,,,,"E462, ethyl cellulose, ethylcellulose, cellulose ethyl ether, ethylated cellulose","E462,乙基纤维素,乙基纤维素,乙基纤维素,乙基纤维素",,
item,17,0,,,,,"E463, hydroxypropylcellulose","E463,羟丙基纤维素",,
item,17,0,,,,,"E464, hypromellose, hydroxypropyl methylcellulose, hydroxypropyl methyl cellulose, HPMC","E464,羟基丙基甲基纤维素,HPMC",,
item,17,0,,,,,"E465, ethyl methyl cellulose, methyl ethyl cellulose, ethyl methyl ether of cellulose",E465 乙基甲基纤维素 甲基乙基纤维素 纤维素乙基甲基醚,,
item,17,?,,,,,"E466, carboxymethyl cellulose, CMC, carboxymethylcellulose, carmellose, cellulose gum","E466, 碳氧甲基纤维素, CMC, 碳氧甲基纤维素, Carmellose, 纤维素口香糖",,
item,17,0,,,,,"E500i, sodium carbonate, washing soda, soda ash, soda crystals, Na2CO3","E500i,碳酸钠,洗苏打水,苏打灰,苏打水晶,Na2CO3",,
item,17,0,,,,,"E500ii, sodium hydrogen carbonate, sodium bicarbonate, baking soda, bicarbonate of soda, NaHCO3","E500ii,碳酸氢钠,双碳酸钠,烘焙苏打,苏打的双碳酸盐,NaHCO3",,
item,17,0,,,,,"E501, potassium carbonate, carbonate of potash, dipotassium carbonate, sub-carbonate of potash, Pearl ash, potash, salt of tartar, salt of wormwood","E501,碳酸钾,陶石的碳酸盐,碳酸二钾,陶石的亚碳酸盐,珍珠灰,陶石的盐,虫木的盐",,
item,17,0,,,,,"E503, ammonium carbonate, baker's ammonia, salt of hartshorn","E503,碳酸铵,面包师的氨,盐的哈茨霍恩",,
item,17,0,,,,,"E504, magnesium carbonate","E504,碳酸镁",,
item,17,0,,,,,"E507, hydrochloric acid","E507,盐酸",,
item,17,0,,,,,"E579, iron(II) gluconate, ferrous gluconate","E579,铁(II) 葡萄糖,有色葡萄糖",,
item,17,2,,,L,,"E620, glutamic acid, (glutamate, flavour enhancer)","E620, 过量酸, (甘氨酸, 香味增强剂)",,
item,17,2,,,L,,"E620-625, glutamates, glutamic acid and its salts","E620-625, 谷氨酸、谷氨酸及其盐类",,
item,17,2,,,L,,"E621, monosodium glutamate, glutamic acid monosodium salt","E621, 单碘谷氨酸, 单碘盐",,
item,17,2,,,L,,"E622, potassium glutamate, glutamic acid potassium salt","E622, 谷硫酸钾, 谷硫酸钾盐",,
item,17,2,,,L,,"E623, calcium diglutamate","E623,二氧化钙",,
item,17,2,,,L,,"E624, monoammonium glutamate, glutamic acid ammonium salt","E624, 单氨基谷氨酸, 谷氨酸盐",,
item,17,2,,,L,,"E625, magnesium diglutamate, glutamic acid magnesium salt","E625,二硫酸镁盐",,
item,17,0,,,,,"E626, guanosine monophosphate, 5'-guanidylic acid, guanylic acid","E626,甘氨酸单磷酸,5'-甘氨酸,甘氨酸",,
item,17,0,,,,,"E650, zinc acetate, dicarbomethoxyzinc, zinc diacetate","E650,乙酸锌,二碳甲氧基锌,二乙酸锌",,
item,17,?,,,,,"E900, polydimethylsiloxane, PDMS, dimethicone, dimethylpolysiloxane","E900, 聚二甲基硅氧烷, PDMS, metthicone, 二甲基聚硅氧烷",,
item,17,0,,,,,"E901, beeswax, bees wax, cera alba, cera flava","E901,蜜蜂蜡,蜜蜂蜡,cera alba,cera flava",,
item,17,0,,,,,"E955, sucralose","E955,苏拉乐",,
item,17,0,,,,,"E960, steviol glycosides","E960, 斯泰维奥尔胶囊",,
item,17,3,,,L,?,"erythrosine, E127","红霉素, E127",,
item,17,0,,,,,"ethyl cellulose, ethylcellulose, ethylated cellulose, cellulose ethyl ether, E462","乙基纤维素,乙基纤维素,乙基纤维素,纤维素乙基醚,E462",,
item,17,0,,,,,"ethyl methyl cellulose, E465","乙基甲基纤维素,E465",,
item,17,2,,,L,,"ethylparaben, ethyl para-hydroxybenzoate, E214, E215","乙二酸乙酯,乙二羟基苯甲酸乙酯,E214,E215",,
item,17,0,,,,,"ferrous gluconate, iron(II) gluconate, E579","亚铁(II)葡萄糖,E579",,
item,17,1,,,L,,fizzy drinks,鸡尾酒,Only short time effects. Symptoms quickly disappear,作用时间短；症状会很快消失。
item,17,1,,,L,,"flavin mononucleotide, E101a","单核苷酸,E101a",,
item,17,2,,,L,,"flavour enhancers, glutamates, E620-625",E620-625 风味增强剂、谷硫酸盐,,
item,17,1,,,,,"flavourings, flavorings",风味、风味,This can be anything. Mostly not well tolerated.,这没什么大不了的
item,17,?,,,,,"Food orange 7, E160f","食物橙色 7, E160f",,
item,18,3,,,L,,"Food Yellow 13, E104","食品黄13, E104",,
item,18,?,,,,,"fumaric acid, trans-butenedioic acid, E297","富马酸,转丁二酸,E297",,
item,18,0,,,,,"gamma-tocopherol, vitamin E, E308","γ-环丙醇,维生素E,E308",,
item,18,1,?,,?,,"gelatin, E441","胶原, E441","Controversial, may also be tolerated.",存在争议，也可能可耐受。
item,18,2,,,L,,"glutamates, glutamic acid and its salts, E620-625","过量氨酸、过量酸及其盐类,E620-625",,
item,18,2,,,L,,"glutamic acid magnesium salt, E625","谷硫酸镁盐,E625",,
item,18,2,,,L,,"glutamic acid monosodium salt, E621","单碘盐,E621",,
item,18,2,,,L,,"glutamic acid, (glutamate, flavour enhancer), E620","谷硫酸,(甘氨酸,香味增强剂),E620",,
item,18,1,,,?,,gluten,谷类,Well tolerated in many cases. Flatulence in some cases.,很多情况下都非常耐受 有些情况下很平坦
item,18,0,,,,,"glycerol, glycerine, glycerin, E422","甘油,甘油,甘油,E422",,
item,18,0,,,,,"gold, E175","黄金,E175",,
item,18,?,,,?,,"Green S, E142, Food Green S, FD&C Green 4, Acid green 50, Lissamine Green B, Wool Green S, C.I. 44090","绿色S,E142,食品绿色S,FD&C Green 4,酸绿色50,利沙明绿色B,伍尔绿色S,C.I. 44090",,
item,18,0,,,,,"guanosine monophosphate, 5'-guanidylic acid, guanylic acid, E626","单磷酸甘氨酸,5'-甘氨酸,甘氨酸,E626",,
item,18,1,,,L,,"guar gum, guaran, E412","瓜尔口香糖,瓜尔,E412",,
item,18,1,,,L,,"gum arabic, acacia gum, E414","阿拉伯口香糖,阿卡西亚口香糖,E414",,
item,18,1,,,L,,"gum karaya, karaya gum, crystal gum, E416",口香糖 口香糖 水晶口香糖 E416,,
item,18,0,,,,,hemicalcium ascorbate,六硅酸酯,,
item,18,0,,,,,"hemicalcium ascorbate, E302","异丙烯酸,E302",,
item,18,2,,,L,,"hexamethylenetetramine, hexamine, methenamine, urotropine, 1,3,5,7- tetraazaadamantane, formin, aminoform","六甲基乙烷、苯乙烯、甲胺、罗托品、1,3,5,7-四氨基甲烷、福明、氨基",,
item,18,0,,,,,"hydrochloric acid, E507","盐酸,E507",,
item,18,0,,,,,"hydroxypropylcellulose, E463","羟丙基纤维素,E463",,
item,18,0,,,,,"hypromellose, hydroxypropyl methylcellulose, hydroxypropyl methyl cellulose, HPMC, E464","羟基丙基甲基纤维素 羟基丙基甲基纤维素 HPMC, E464",,
item,18,2,,,L,,"indigo carmine, indigotine, E132","Indigo Carmine, indigotine, E132 (英语).",,
item,18,0,,,,,"invertase, E1103",E1103反转酶,,
item,18,0,,,,,"iron oxides, E172","氧化铁,E172",,
item,18,0,,,,,"iron(II) gluconate, ferrous gluconate, E579","铁(II) 葡萄糖,有色葡萄糖,E579",,
item,18,1,,,L,,"karaya gum, gum karaya, crystal gum, E416",卡拉雅口香糖 卡拉雅口香糖 水晶口香糖 E416,,
item,18,0,,,,,"lactic acid, milk acid, 2-hydroxypropanoic acid, E270","乳酸,乳酸,2-羟基丙酸,E270",,
item,18,0,,,,,"lecithins, lecithin, E322",莱辛、莱辛、E322,Mostly soya lecithin,多为大豆卵磷脂。
item,18,2,,,L,,"Lithol Rubine BK, E180","Lithol Rubine BK, E180 (英语).",,
item,18,2,,,L,,"locust bean gum, LBG, E410","蝗豆口香糖,LBG,E410","Thickening agent and gelling agent, extracted from the seeds of the carob tree.",增稠剂和凝胶剂，提取自角豆树种子。
item,18,?,,,,,"lutein, luteine, E161b",lu、 lu、E161b,,
item,18,?,,,,,"lycopene, E160d","淋巴,E160d",,
item,18,?,,,,,"lysozymes, E1105","淋巴酶,E1105",,
item,18,0,,,,,"magnesium carbonate, E504","碳酸镁,E504",,
item,18,2,,,L,,"magnesium diglutamate, magnesium glutamate, E625",Diglutamate镁、Grossamate镁、E625,,
item,18,0,,,,,"malic acid, hydroxybutanedioic acid, E296","ma酸,羟丁二酸,E296",,
item,18,0,,,,,"mannitol, mannite, E421","芒硝醇,曼硝酸,E421",,
item,18,0,,,,,"methyl cellulose, methylcellulose, methylated cellulose, cellulose methyl ether, E461","甲基纤维素、甲基纤维素、甲基纤维素、纤维素甲基醚,E461",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,18,0,,,,,"methyl ethyl cellulose, ethyl methyl cellulose, E465","甲基乙基纤维素,乙基纤维素,E465",,
item,18,2,,,L,,"methylparaben, methyl paraben, E218, E219","甲基para,甲基 para,E218,E219",,
item,18,2,,,L,,"monoammonium glutamate, ammonium glutamate, glutamic acid ammonium salt, E624","谷氨酸单铵、谷氨酸铵、谷氨酸盐,E624",,
item,18,1,,,?,,"monocalcium phosphate, E340","磷酸单钙,E340",,
item,18,1,,,?,,"monopotassium phosphate, E340","磷酸单钾,E340",,
item,18,0,,,,,monosodium ascorbate,单碘酸酯,,
item,18,0,,,,,"monosodium ascorbate, E301","单碘酸酯,E301",,
item,18,0,,,,,"monosodium ascorbate, sodium ascorbate, sodascorbate, E301",单碘酸酯、 as酸钠、苏打水、E301,,
item,18,2,,,L,,"monosodium glutamate, E621",E621 谷氨酸单钠,,
item,18,?,,,,,"natamycine, natacyn, pimaricin, E235","Natamycine, Natabin, 镇静剂, E235",,
item,18,?,,,,,"nisin, E234","尼辛,E234",,
item,18,2,,,L,,"norbixin, bixin, annatto, E160b",诺比克辛、比克辛、阿纳托、E160b,,
item,18,2,,,L,,"octyl gallate, E311","辛基加热酸,E311",,
item,18,3,,,L,,"orange yellow S, E110","橙黄色S, E110",,
item,18,2,,,L,,"orthophenyl phenol, E231","苯酚,E231",,
item,18,2,,,L,,"parabens = PHB-ester, E214-219, para-hyrdoxy-benzoic acid = PHB","parabens=PHB-酯,E214-219,副羟基-苯甲酸=PHB",,
item,18,2,,,L,,"Patent blue V, E131","专利蓝V, E131",,
item,18,0,,,,,"pectin, E440","p,E440",,
item,19,?,,,,,"pimaricin, natamycine, E235","镇痛剂, Natamycine, E235",,
item,19,0,,,,,"plain caramel, E150a","普通焦糖,E150a",,
item,19,?,,,,,"polydextrose, E1200","聚丁二烯,E1200",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,19,?,,,,,"polydimethylsiloxane, PDMS, dimethicone, dimethylpolysiloxane, E900",聚二甲基硅氧烷、PDMS、二甲酮、二甲基聚硅氧烷、E900,,
item,19,1,,,?,,"polyvinylpolypyrrolidone, E1202","聚氯乙烯,E1202",,
item,19,1,,,?,,"polyvinylpyrrolidone, PVP, polyvidone, povidone, E1201",聚乙烯丙烯酮、聚丙烯酮、聚维酮、波维酮、E1201,,
item,19,2,,,L,,"ponceau 4R, E124","波诺4R, E124",,
item,19,0,,,,,"potassium acetate, E261","乙酸钾,E261",,
item,19,2,,,L,,"potassium alginate, E402","挥发钾,E402",,
item,19,2,,,L,,"potassium benzoate, E212","苯甲酸钾,E212",,
item,19,0,,,,,"potassium bitartrate, E336",E336比特酸钾,,
item,19,0,,,,,"potassium carbonate, carbonate of potash, E501","碳酸钾,硼酸盐,E501",,
item,19,1,,,?,,"potassium citrate, tripotassium citrate, E332","柠檬酸钾,三otassium 柠檬酸钾,E332",Often well tolerated.,通常耐受良好。
item,19,2,,,L,,"potassium glutamate, glutamic acid potassium salt, E622","谷硫酸钾盐,E622",,
item,19,2,,,L,,"potassium hydrogen sulfite, potassium bisulfite, E228","硫酸氢钾,二硫酸钾,E228",,
item,19,0,,,,,"potassium hydrogen tartrate, E336","氢沥青钾,E336",,
item,19,0,,,,,"potassium lactate, E326","乳酸钾,E326",,
item,19,2,,,L,,"potassium metabisulfite, E224","甲硫磺酸钾,E224",,
item,19,?,,,,,"potassium nitrite, E249","亚硝酸钾,E249",,
item,19,2,,,?,,"potassium polyphosphate, E452","多磷酸钾,E452",,
item,19,?,,,,,"potassium propanoate, potassium propionate, E283","丙酸钾,丙酸钾,E283",,
item,19,2,,,L,,"potassium pyrosulfite, E224","y硫酸钾,E224",,
item,19,2,,,L,,"potassium sorbate, E202","硫酸钾,E202",,
item,19,2,,,L,,"potassium sulfite, E225",E225硫酸钾,,
item,19,1,,,?,,"povidone, polyvidone, polyvinylpyrrolidone, PVP, E1201",聚维多酮、聚维多酮、聚维多酮、聚氯乙烯、聚氯乙烯、E1201,,
item,19,?,,,,,"propionic acid, propanoic acid, E280","丙酸,丙酸,E280",,
item,19,2,,,L,,"propyl gallate, E310","丙基加热酸酯,E310",,
item,19,2,,,L,,"propylene glycolic alginate, E405","丙烯甘酸盐,E405",,
item,19,2,,,,,quinine (e.g. in Bitter Lemon or Tonic Water),quinine(例如在苦柠檬或通心水中),,
item,19,3,,,L,,"quinoline yellow, E104","no黄色,E104",,
item,19,2,,,L,,"Red 2G, acid red 1, azogeranine, azohpoloxine, E128","红2G,酸红1,异甲苯,异丙苯,E128",,
item,19,1,,,L,,"riboflavin-5′-phosphate, E101a","磷酸盐,E101a",,
item,19,2,,,L,,salicylic acid,盐酸,Forbidden as food additive,禁止作为食品添加剂
item,19,?,,,,,"silver, E174","银, E174",,
item,19,0,,,,,"sodascorbate, sodium ascorbate, monosodium ascorbate, E301",soda酸钠 or酸钠 mono酸单钠 E301,,
item,19,0,,,,,"sodium acetate, E262","乙酸钠,E262",,
item,19,2,,,L,,"sodium alginate, E401","铝酸钠,E401",,
item,19,0,,,,,"sodium ascorbate, sodascorbate",硫酸钠、苏打,,
item,19,2,,,L,,"sodium benzoate, E211","苯甲酸钠,E211",,
item,19,2,,,L,,"sodium bisulphite, E222","二硫酸钠,E222",,
item,19,0,,,,,"sodium carbonate, washing soda, soda ash, soda crystals, Na2CO3, E500i",碳酸钠、冲洗苏打水、苏打灰、苏打水晶、Na2CO3、E500i,,
item,19,1,,,?,,"sodium citrate, trisodium citrate, E331","柠檬酸钠,柠檬酸三钠,E331",Often well tolerated.,通常耐受良好。
item,19,0,,,,,"sodium erythorbate, D-isoascorbate, erythorbic acid sodium salt, E316","红磷酸钠,D-异斯科巴酸盐,红磷酸钠盐,E316",,
item,19,0,,,,,"sodium hydrogen carbonate, sodium bicarbonate, baking soda, bicarbonate of soda, E500ii",碳酸氢钠、双碳酸钠、烘焙苏打水、苏打水的双碳酸盐、E500ii,,
item,19,2,,,L,,"sodium hydrogen sulphite, E222","硫酸氢钠,E222",,
item,19,0,,,,,"sodium lactate, E325","乳酸钠,E325",,
item,19,2,,,L,,"sodium metabisulfite, E223","甲硫磺酸钠,E223",,
item,19,?,,,,,"sodium nitrate, E251",E251硝酸钠,,
item,19,0,,,,,"sodium nitrite, E250","亚硝酸钠,E250",,
item,19,2,,,,,"sodium orthophenyl phenol, E232","矫苯酚钠,E232",,
item,19,2,,,?,,"sodium polyphosphate, E452","聚磷酸钠,E452",,
item,19,?,,,,,"sodium propanoate, sodium propionate, E281","丙酸钠,丙酸钠,E281",,
item,19,2,,,L,,"sodium pyrosulfite, E223","y硫酸钠,E223",,
item,19,2,,,L,,"sodium sulfite, sodium sulphite, E221","硫酸钠,硫酸钠,E221",,
item,19,0,,,,,"sodium tartrate, sal tartar, disodium tartrate, bisodium tartrate, E335","柏酸钠、盐酸柏油、二碘酸柏油、二碘酸柏油,E335",See cream of tartar,参见酒石酸氢钾/塔塔粉。
item,19,2,,,?,,"sodium-calcium polyphosphate, E452","聚磷酸钠,E452",,
item,19,2,,,L,,"sorbates (salts of sorbic acid): potassium sorbate, E202, calcium sorbate, E203","索酸盐(索酸盐):索酸钾,E202,索酸钙,E203",,
item,19,2,,,L,,"sorbic acid, E200","索比克酸,E200",,
item,20,0,,,,,"starch, amylum","淀粉,矿泉水",,
item,20,0,,,,,"steviol glycosides, E960","Steviol glycosides, E960 (英语).",,
item,20,0,,,,,"sucralose, E955","苏拉洛斯, E955",,
item,20,2,,,L,,"sulfites, sulphites, E220 - E228","硫化物,硫化物,E220 - E228",,
item,20,2,,,L,,"sulfur dioxide, sulphur dioxide, E220","二氧化硫,二氧化硫,E220",,
item,20,2,,,L,,"sulphan blue, E131","硫蓝色,E131",,
item,20,0,,,,,"sulphite ammonia caramel, E150d","硫酸氨焦糖,E150d",Possibly not as good tolerated as E150?,可能不如 E150 耐受？
item,20,3,,,L,,"sunset yellow FCF, E110","日落 黄色 FCF, E110",,
item,20,0,,,,,"tartaric acid, uvic acid, E334","土酸、乌维酸,E334",,
item,20,3,,,L,,"tartrazine, E102","柏拉锡,E102",,
item,20,?,,,,,"tert-Butylhydroquinone, TBHQ, E319","叔丁基氢quin酮,TBHQ,E319",,
item,20,0,,,?,,"titanium dioxide, titanium(IV) oxide, E171",二氧化钛、四氧化钛、E171,,
item,20,0,,,,,"tocopherol, vitamin E, E306",乙醇、维生素E、E306,,
item,20,2,,,L,,"tragacanth, E413","轨迹, E413",,
item,20,1,,,?,,"triammonium citrate, ammonium citrate, E380","柠檬酸三铵,柠檬酸铵,E380",,
item,20,1,,,?,,"tricalcium phosphate, E340","磷酸三钙,E340",,
item,20,1,,,?,,"tripotassium citrate, potassium citrate, E332","柠檬酸三otassium,柠檬酸钾,E332",Often well tolerated.,通常耐受良好。
item,20,1,,,?,,"tripotassium phosphate, E340","磷酸三钾,E340",,
item,20,1,,,?,,"trisodium citrate, sodium citrate, E331","柠檬酸三钠,柠檬酸钠,E331",Often well tolerated.,通常耐受良好。
item,20,0,,,,,vanillin (synthetic),香草(合成),Slightly irritating. Use sparingly.,有点刺激 少用点
item,20,0,,,,B,"vitamin C, E300","维生素C,E300","Lowers histamine levels, but is also a weak DAO inhibitor. Good for those with MCAS, bad for those with HIT?",可降低组胺水平，但也是弱 DAO 抑制剂。对 MCAS 患者可能有益，对 HIT 患者可能不利？
item,20,0,,,,,"vitamin E, alpha-tocopherol, E307","维生素E,α-环丙醇,E307",,
item,20,0,,,,,"vitamin E, delta-tocopherol, E309","维生素E,三聚磷酸酯,E309",,
item,20,0,,,,,"vitamin E, gamma-tocopherol, E308","维生素E,γ-环丙醇,E308",,
item,20,0,,,,,"vitamin E, tocopherol, E306","维他命E, 托密码醇, E306",,
item,20,0,,,,,"xanthan gum, E415","Xanthan口香糖,E415",,
item,20,0,,,,,"zinc acetate, E650","乙酸锌,E650",,
category,20,,,,,,tamin,塔明语,,
item,20,2,,,L,,"folic acid, folate, vitamin B9",叶酸、叶酸、维生素B9,To be debated. Other name: pteroyl-L-glutamic acid (similar to glutamic acid / glutamate?),仍有争议。别名：蝶酰-L-谷氨酸（与谷氨酸/谷氨酸盐相似？）。
item,20,3,,,L,,iodine,碘,,
item,20,2,,,L,,iodized table salt,碘盐,,
item,20,3,,,L,,potassium iodate (e.g. as additive in iodized table salt),碘酸钾(如加碘表盐中的添加剂),,
item,20,3,,,L,,potassium iodide (e.g. as additive in iodized table salt),碘化钾(如碘表盐中的添加剂),,
item,20,2,,,,B,theobromine,红溴,,
item,20,2,,,L,,"vitamin B9, folic acid, folate",维生素B9、叶酸、叶酸,To be debated. Other name: pteroyl-L-glutamic acid (similar to glutamic acid / glutamate?),仍有争议。别名：蝶酰-L-谷氨酸（与谷氨酸/谷氨酸盐相似？）。
item,20,2,,,,B,"xantheose, theobromine","x,o",,
category,20,,,,,,epara,epara 语句,,
item,20,2,,,L,,liquorice,酒类,,
item,20,1,,,,,marzipan,马尔齐潘语Name,Small amounts are well tolerated if without incompatible additives.,若不含不兼容添加剂，少量通常耐受。
item,20,1,,,,,marchpane,行进板,Small amounts are well tolerated if without incompatible additives.,若不含不兼容添加剂，少量通常耐受。
item,20,2,,A,,,"chocolate, brown / black",棕色/黑巧克力,"Tyramine, phenylethylamine",苯乙胺
item,20,1,,?,,,"chocolate, white",白巧克力,Mostly well tolerated,通常耐受良好。
item,20,2,H,,L,,mustard,芥末,"Preparation (mixture) of mustard seeds, vinegar, etc.","准备(混合)芥子籽,醋等."
item,20,2,,,,,tofu,豆腐,,
